s6.new.rev.p2.m2,s4.loc.ic.ins.p1,s8.mbl.p2,s2.rch.val.l67,s7.s4.day.no.mou.p2.p4,s3.new.rev.p3,s8.ic.mou.all.p3,s8.new.rev.p3,s8.rtd.mou.p3,s2.s4.day.no.mou.p3,s4.std.ins.l14,s4.loc.ins.l14,s4.data.ins.l14,s4.std.ic.ins.l14,target
0.87,4,0.0,147.5,0.333333333,21.32,-0.07,0.85,0.67,2.0,1,13,10,0,0
0.45,4,6.59,70.0,0.0,9.43,0.42,0.7,0.61,0.0,0,14,0,0,0
0.07,4,0.43,22.298999999999996,0.0,5.38,0.38,0.17,0.1,2.0,2,13,6,2,0
-0.95,3,-1.48,23.0,0.315789474,3.94,-0.42,-0.29,0.0,4.0,0,14,8,0,0
0.87,2,-7.0,128.78,0.0,12.37,0.19,0.85,0.76,4.0,7,12,12,6,0
0.03,4,-0.42,31.6,99.0,10.65,0.22,0.2,0.15,0.0,0,14,0,0,0
-0.12,4,-1.15,45.87,0.2,3.45,-0.04,0.06,0.14,0.0,0,14,12,0,0
-0.35,4,-1.21,51.05,99.0,7.72,-0.25,-0.66,-0.48,0.0,4,14,0,4,0
0.36,4,-3.46,123.13,99.0,12.1,0.59,0.85,0.76,0.0,0,14,0,0,0
0.87,4,0.0,72.75,99.0,21.32,-0.33,0.85,0.76,0.0,3,14,0,0,1
-0.52,4,-1.9,37.5,0.333333333,5.57,0.08,-0.54,-0.17,0.0,1,14,0,1,0
-0.23,4,-7.0,147.5,1.0,7.64,0.15,0.36,0.3,0.0,4,13,1,4,1
0.05,4,1.77,44.18,0.142857143,12.68,-0.24,0.63,0.17,0.0,0,14,0,0,0
-0.05,4,0.69,48.85,99.0,6.25,0.02,0.03,0.02,0.0,1,14,0,1,0
0.37,3,0.75,24.86,0.227272727,9.46,0.38,0.68,0.2,5.5,0,13,0,0,0
0.04,3,3.81,47.5,0.235294118,9.39,-0.39,0.85,0.65,5.5,0,12,1,0,0
0.58,4,0.01,46.28,0.0,12.12,0.59,0.65,0.76,0.0,2,14,0,1,0
-0.95,4,0.0,70.19,0.5,21.32,-0.72,-1.06,-1.07,5.5,0,14,4,0,1
