s8.mbl.p2,s7.s4.day.no.mou.p2.p4,s3.new.rev.p3,s7.s5.s4.day.nomou.p4,s8.og.rev.p3,s8.ic.mou.all.p3,target,s7.rev.p2.p6,s7.new.rev.p3.p6,ds.usg.p6,ds.og.usg.p4,s4.day.no.mou.p2,s7.rtd.mou.p3.p6,s7.new.rev.l21.p6,s8.new.rev.p3,s1.loc.og.mou.p1,s7.rtd.mou.l21.p6,s8.rtd.mou.p3,s8.rev.p6,s5.rev.p2,s4.rch.val.gt.30.p2,s4.loc.ins.l14,s4.data.ins.l14,s3.og.rev.all.m2,s3.new.rev.m2
-0.72,1.0,7.16,0.666666667,-0.6,-0.73,1,0.03,0.34,0,0,1,0.35,0.49,-0.9,2.3832,0.46,-0.5,-0.12,7.04,0.0,12.0,0,6.02,8.2
-0.08,0.5,1.1,0.583333333,-0.14,0.0,1,0.01,0.05,0,0,1,0.1,0.22,-0.14,0.65,0.24,-0.11,-0.22,0.76,0.0,13.0,0,3.66,8.1
-0.09,0.384615385,4.19,0.384615385,-0.45,-1.03,1,0.01,0.33,0,0,2,0.25,0.61,-0.45,0.1833,0.47,-0.39,-0.07,0.3,0.0,14.0,0,4.33,4.36
1.83,0.416666667,0.4,0.25,-0.02,-0.43,0,-0.1349999999999999,0.04,0,0,2,0.04,0.175,-0.02,0.8165,0.18,-0.02,-0.21,0.98,0.0,14.0,0,3.4,3.53
-0.04,0.222222222,5.12,0.777777778,-0.67,-1.04,0,0.04,0.72,0,0,1,0.64,0.81,-0.67,0.1666,0.68,-0.63,0.01,0.74,0.0,14.0,2,3.85,3.87
6.44,99.0,26.005000000000003,0.0,0.995,-0.99,0,0.24,0.31,0,0,0,0.38,0.46,1.36,107.0235125,0.51,1.175,0.525,75.53125,2.0,14.0,5,18.26375,27.29875
2.91,0.1875,10.55,0.9375,0.995,-0.42,0,0.44,0.44,0,0,1,0.43,0.6,1.36,50.1494,0.65,1.05,0.13,45.27,1.0,14.0,0,5.56,6.75
6.44,0.0,12.13,0.0,0.29,0.03,0,0.23,0.47,0,0,0,0.41,0.66,1.2,5.1832,0.67,-0.49,0.24,52.27,2.0,14.0,0,4.98,5.6
0.0,0.7,16.21,0.8,-1.125,-1.04,1,0.0,0.24,0,0,1,0.22,0.45,-1.52,0.0,0.4,-1.3450000000000002,-0.42,0.0,0.0,11.5,1,18.26375,27.29875
-4.16,0.0,8.8,0.0,-0.08,0.1,0,0.11,0.39,0,0,0,0.39,0.62,-0.08,31.9162,0.6,0.25,-0.01,9.16,0.0,13.0,0,4.9,7.22
-7.960000000000001,99.0,8.83,0.0,-0.09,-0.35,0,0.17,0.44,0,0,0,0.46,0.63,-0.41,36.4495,0.62,-0.08,0.13,21.27,0.0,14.0,0,10.15,11.39
-3.34,99.0,18.37,0.0,0.995,0.3,0,0.28,0.45,0,0,0,0.45,0.61,1.36,107.0235125,0.6,1.175,0.525,63.34,1.0,14.0,0,13.86,13.9
-0.08,0.3125,0.08,0.6875,0.01,0.37,1,0.01,0.0049999999999999,0,0,2,0.0049999999999999,0.175,0.01,0.8999,0.175,0.0,-0.21,0.26,0.0,11.5,0,5.57,5.65
-2.08,0.111111111,6.73,0.444444444,0.53,0.09,0,0.37,0.58,0,0,0,0.62,0.78,0.57,37.8995,0.8,0.44,0.17,22.83,1.0,11.5,0,3.11,3.54
6.3,0.0,6.7,0.875,0.47,0.38,0,0.29,0.58,0,0,0,0.7,0.77,0.59,72.4496,0.92,0.78,0.28,14.88,1.0,14.0,0,6.25,10.52
6.44,0.238095238,3.63,0.904761905,0.36,0.27,0,0.29,0.2,0,0,1,0.28,0.2,0.42,21.9164,0.28,0.51,0.31,75.53125,1.0,14.0,5,3.86,5.29
-1.7,0.75,13.67,0.5,-0.53,0.96,0,0.05,0.39,0,0,1,0.27,0.5,-0.85,9.8332,0.4,-0.14,-0.25,35.42,0.0,13.0,5,9.56,10.65
-5.77,99.0,5.0,0.0,-0.13,-0.77,0,0.15,0.31,0,0,0,0.34,0.4,-0.12,35.783,0.48,0.17,-0.28,9.42,1.0,14.0,5,4.82,13.23
6.44,0.0,9.27,0.0,0.37,0.11,0,0.13,0.3,0,0,0,0.43,0.41,0.43,14.833,0.58,0.91,-0.18,19.44,1.0,13.0,0,11.03,14.07
-1.74,0.0,9.24,0.5,-0.72,0.15,1,0.13,0.6,0,0,0,0.63,0.64,-1.05,3.9332,0.69,-0.61,0.03,2.95,0.0,12.0,0,5.11,7.88
-4.44,0.0,15.24,0.8,-1.125,0.96,1,0.07,0.62,0,0,0,0.7,0.89,-1.52,0.3666,0.91,-1.3450000000000002,0.525,11.16,0.0,11.5,5,15.39,15.39
-6.38,99.0,8.79,0.0,0.39,-0.1,0,0.14,0.28,0,0,0,0.31,0.35,0.16,62.5328,0.42,0.82,-0.29,13.66,0.0,14.0,0,7.16,11.0
-2.25,0.0,9.78,0.0,-1.08,-0.59,0,0.03,0.22,0,0,0,0.19,0.31,-1.09,7.4665,0.28,-0.91,-0.555,5.19,0.0,14.0,0,12.02,12.87
