s6.new.rev.p2.m2,s2.rch.val.p6,s8.mbl.p2,s7.s4.day.no.mou.p2.p4,s8.ic.mou.all.p3,s6.rtd.mou.p2.m2,s1.og.hom.mou.p1,ds.usg.p6,ds.og.usg.p4,s3.new.rev.p1,s2.s4.day.no.mou.p2,s8.new.rev.p3,s4.low.blnc.ins.p3,s8.rtd.mou.p3,s2.s4.day.no.mou.p3,s7.rtd.mou.m1.m2,s4.rch.val.gt.30.p2,s4.data.ins.l14,s4.std.ic.ins.l14,target
-0.48,51.2,-4.16,0.0,0.1,0.11,31.8665,0.0,0.0,3.66,0.0,-0.08,0.0,0.25,0.0,1.130872499,0.0,0.0,1.0,0
0.86,34.9,6.3,0.0,0.38,1.4,72.333,0.0,0.0,5.27,0.0,0.59,2.0,0.78,0.0,0.475971265,1.0,0.0,0.0,0
-0.63,45.0,-1.74,0.0,0.15,-0.52,5.0165,0.0,0.0,1.2,0.0,-1.05,0.0,-0.61,0.0,0.129495537,0.0,0.0,1.0,1
-0.46,89.6,-6.38,99.0,-0.1,-0.04,62.4828,0.0,0.0,4.83,0.0,0.16,0.0,0.82,0.0,0.896824653,0.0,0.0,0.0,0
-0.84,75.0,-2.25,0.0,-0.59,-0.86,7.4665,0.0,0.0,0.53,0.0,-1.09,2.0,-0.91,0.0,1.169667165,0.0,0.0,0.0,0
0.45,21.93,-0.1,0.333333333,-0.43,1.0,55.483,0.0,0.0,10.11,0.0,0.2,7.0,-0.42,0.0,0.872051005,0.0,0.0,0.0,0
-0.19,12.5,-0.67,1.0,-0.22,-0.25,13.6831,0.0,0.0,5.11,0.0,0.01,8.0,-0.12,0.0,1.087664539,0.0,0.0,0.0,0
-0.25,72.0,-3.82,0.0,-0.7,0.26,22.933,0.0,0.0,2.34,0.0,-0.27,0.0,-0.55,0.0,1.253177145,0.0,0.0,0.0,0
-0.5,0.0,-1.59,99.0,-0.44,-0.5,5.7664,0.0,0.0,1.32,0.0,-0.15,0.0,-0.14,0.0,0.841251103,0.0,0.0,0.0,0
-0.47,102.5,-4.78,1.0,0.18,-0.45,14.2498,0.0,0.0,4.08,0.0,-0.25,1.0,-0.19,0.0,1.250914767,0.0,0.0,0.0,0
-0.8,54.0,0.0,1.0,-0.11,-0.39,30.8165,0.0,0.0,1.88,2.0,-0.25,15.0,-0.56,2.0,1.308262145,0.0,0.0,0.0,0
-0.02,34.19,-0.29,0.0,-0.73,0.33,69.8498,0.0,0.0,10.07,0.0,-0.51,4.0,-0.64,0.0,0.030762422,2.0,0.0,0.0,1
-0.04,15.0,0.88,0.285714286,-0.14,-0.31,11.6832,0.0,0.0,9.34,2.0,0.26,11.0,0.04,2.0,0.356586478,0.0,0.0,0.0,0
0.92,36.0,-3.43,0.083333333,-0.2,0.71,27.9498,0.0,0.0,7.97,0.0,-0.25,1.0,-0.2,0.0,0.439886404,1.0,0.0,0.0,0
-0.16,42.0,2.28,0.0,-0.45,-0.23,23.533,0.0,0.0,4.99,0.0,-0.39,2.0,-0.28,0.0,0.743011391,2.0,1.0,5.0,0
